station_code,monomodal_stop_id,monomodal_code,stop_name,parent_station,stop_lat,stop_lon,zone_id
NAY,monomodalStopPlace:462330,462330,Épinay-sur-Seine,IDFM:72383,48.95520944800977,2.302140330177491,
NEU,monomodalStopPlace:415093,415093,Neuilly Porte Maillot,IDFM:71379,48.878347804048644,2.284217509613705,1
NOI,monomodalStopPlace:44199,44199,Noisiel,IDFM:68153,48.84351408493866,2.616660606000051,5
NOR,monomodalStopPlace:462394,462394,Gare du Nord,IDFM:71410,48.88230685842714,2.356693437528564,1
NTE,monomodalStopPlace:43125,43125,Fontenay-aux-Roses,IDFM:70133,48.78756698215643,2.2929083820455323,3
NTH,monomodalStopPlace:45812,45812,Ponthierry - Pringy,IDFM:61976,48.535084951085466,2.5445365646399507,5
NTI,monomodalStopPlace:43166,43166,Montigny - Beauchamp,IDFM:66335,49.007744118117,2.1965151756043033,4
NTM,monomodalStopPlace:47886,47886,Nogent-sur-Marne,IDFM:71590,48.834306538503405,2.471683791180998,3
OGE,monomodalStopPlace:46552,46552,Nogent - Le Perreux,IDFM:71609,48.839991175687295,2.4939549579206104,3
OIN,monomodalStopPlace:43135,43135,Joinville-le-Pont,IDFM:70640,48.82119737360793,2.4638739495546496,3
OIS,monomodalStopPlace:43094,43094,Boissy-Saint-Léger,IDFM:72881,48.752267307821874,2.504498176690716,4
OND,monomodalStopPlace:43096,43096,Bondy,IDFM:72037,48.893965864676495,2.4795800358385867,3
ONT,monomodalStopPlace:43124,43124,Fontaine Michalon,IDFM:69647,48.74304953436299,2.2959559818374013,4
ORA,monomodalStopPlace:48489,48489,Orangis Bois de l'Épine,IDFM:60542,48.6363396147683,2.40769076622141,5
ORL,monomodalStopPlace:46299,46299,Orly Ville,IDFM:69639,48.74163230680523,2.4030548924063897,4
ORN,monomodalStopPlace:411418,411418,La Borne Blanche,IDFM:411419,49.1261949449139,2.5069908684194053,
ORR,monomodalStopPlace:411421,411421,Orry-la-Ville - Coye,IDFM:411422,49.13840546145438,2.489862086302069,
ORS,monomodalStopPlace:43086,43086,Orsay Ville,IDFM:62892,48.6975077019159,2.1808087044597166,5
ORT,monomodalStopPlace:44500,44500,Port Royal,IDFM:71106,48.840064350218256,2.3371383995944486,1
ORV,monomodalStopPlace:47939,47939,La Norville - Saint-Germain-lès-Arpajon,IDFM:60115,48.59111916474817,2.266215906699314,5
OSA,monomodalStopPlace:58498,58498,Rosa Parks,IDFM:73798,48.89645824176388,2.3737182728654673,1
OUD,monomodalStopPlace:45824,45824,Le Coudray-Montceaux,IDFM:59953,48.56619819315809,2.492424499497774,5
OUE,monomodalStopPlace:43150,43150,Saint-Ouen-l'Aumône Liesse,IDFM:66659,49.0341234164973,2.128124092657316,5
OUL,monomodalStopPlace:45453,45453,Boulainvilliers,IDFM:71229,48.856981095562965,2.274806827480264,1
OUS,monomodalStopPlace:47924,47924,Boussy-Saint-Antoine,IDFM:62596,48.68087387117553,2.533195809235637,5
OUT,monomodalStopPlace:47895,47895,Boutigny,IDFM:59565,48.43442542513416,2.3767454804181263,5
OZO,monomodalStopPlace:462901,462901,Ozoir-la-Ferrière,IDFM:462934,48.77076716837013,2.690116190500944,5
PAL,monomodalStopPlace:43175,43175,Palaiseau - Villebon,IDFM:63067,48.7081489333421,2.237329249708309,4
PAN,monomodalStopPlace:43176,43176,Pantin,IDFM:72421,48.897987452300434,2.4010414542870944,2
PAR,monomodalStopPlace:43177,43177,Parc de Sceaux,IDFM:69906,48.769718949712896,2.309934691589042,3
PIE,monomodalStopPlace:43179,43179,Pierrefitte - Stains,IDFM:72787,48.96277628555098,2.3703314284767747,4
PIN,monomodalStopPlace:43077,43077,Épinay-sur-Seine,IDFM:72383,48.95382604164122,2.302388375122374,3
PLA,monomodalStopPlace:43145,43145,La Plaine Stade de France,IDFM:72211,48.918076675621,2.362459916604931,2
POI,monomodalStopPlace:47874,47874,Poissy,IDFM:64883,48.93324983956547,2.040804469960689,5
PON,monomodalStopPlace:44411,44411,Pontoise,IDFM:66816,49.04673337596684,2.0957859968423524,5
POR,monomodalStopPlace:43183,43183,Porchefontaine,IDFM:63886,48.79654475986442,2.1522340489858127,4
QUE,monomodalStopPlace:461504,461504,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,IDFM:63812,48.78748491597792,2.044615988930814,5
RAI,monomodalStopPlace:47901,47901,Le Raincy - Villemomble - Montfermeil,IDFM:73297,48.8888544132907,2.5130610056844116,4
RAN,monomodalStopPlace:45860,45860,Grand Bourg,IDFM:73627,48.64880840591746,2.4348387319350167,5
RAT,monomodalStopPlace:43201,43201,Saint-Gratien,IDFM:65305,48.963658273529425,2.285777828585351,4
RCE,monomodalStopPlace:47878,47878,Parc des Expositions,IDFM:73568,48.97356812654279,2.5145512908225953,4
RCM,monomodalStopPlace:43234,43234,Le Parc de Saint-Maur,IDFM:70359,48.8054097518155,2.486623744135692,3
RCU,monomodalStopPlace:43067,43067,Arcueil - Cachan,IDFM:70263,48.79869767228883,2.328093276131277,3
RDO,monomodalStopPlace:43227,43227,Les Ardoines,IDFM:70064,48.78248922625494,2.409587305033223,3
REF,monomodalStopPlace:487011,487011,Nanterre-La-Folie,IDFM:488087,48.897581324774116,2.226568794458685,2
REI,monomodalStopPlace:411440,411440,Creil,IDFM:411441,49.264185555044406,2.46892902764167,
RES,monomodalStopPlace:43230,43230,Les Grésillons,IDFM:72225,48.9206901983449,2.313901968217972,3
RET,monomodalStopPlace:46286,46286,Créteil Pompadour,IDFM:69950,48.771254072297346,2.435315840251248,3
REU,monomodalStopPlace:43099,43099,Breuillet Village,IDFM:59940,48.56433413404574,2.170354257290333,5
RGY,monomodalStopPlace:47897,47897,Cergy Saint-Christophe,IDFM:66858,49.049642166828754,2.0345219282999176,5
RIG,monomodalStopPlace:58798,58798,Pont du Garigliano - Hôpital Européen G. Pompidou,IDFM:74002,48.83888336270874,2.2704701876900395,1
RIS,monomodalStopPlace:47948,47948,Ris-Orangis,IDFM:60839,48.659057463386254,2.414997460834355,5
RLE,monomodalStopPlace:58759,58759,Charles de Gaulle - Etoile,IDFM:71347,48.874172759565376,2.295231447641207,1
ROB,monomodalStopPlace:43186,43186,Robinson,IDFM:427230,48.78023982792202,2.281364769669608,3
ROI,monomodalStopPlace:46568,46568,Roissy-en-Brie,IDFM:67839,48.79563367624288,2.650530702348584,5
RON,monomodalStopPlace:47952,47952,Saint-Chéron,IDFM:59882,48.550937745357075,2.1249767315730463,5
ROS,monomodalStopPlace:42356,42356,Rosny Bois Perrier,IDFM:426280,48.88258632328664,2.4811863962676766,3
RRE,monomodalStopPlace:43170,43170,Nanterre Université,IDFM:70956,48.90112974604822,2.213536495127317,3
RSA,monomodalStopPlace:43220,43220,Versailles Château Rive Gauche,IDFM:73721,48.79991350059487,2.130150772175517,4
RTG,monomodalStopPlace:46222,46222,Vert Galant,IDFM:73482,48.944091645418105,2.5663968806983126,4
RTI,monomodalStopPlace:47115,47115,Saint-Martin d'Étampes,IDFM:59531,48.42748765080825,2.145258831307165,5
RTM,monomodalStopPlace:464040,464040,Le Vert de Maisons,IDFM:73624,48.78883131123265,2.4321242678299977,3
RUE,monomodalStopPlace:58875,58875,Rueil-Malmaison,IDFM:70902,48.88767250064626,2.172366417897185,3
RUN,monomodalStopPlace:44787,44787,Rungis la Fraternelle,IDFM:69633,48.74021613668418,2.3521980873905326,4
RYC,monomodalStopPlace:47906,47906,Évry - Courcouronnes,IDFM:60450,48.62588794663492,2.4300329095214526,5
SAU,monomodalStopPlace:46298,46298,Les Saules,IDFM:69662,48.74520105223681,2.4174549898851208,4
SAV,monomodalStopPlace:43192,43192,Savigny-sur-Orge,IDFM:60987,48.67639468866699,2.3523541804056833,4
SCE,monomodalStopPlace:59206,59206,Sceaux,IDFM:74265,48.781307920937515,2.2979282159439305,3
SER,monomodalStopPlace:47950,47950,Sermaise,IDFM:59842,48.535687624993614,2.069088468619773,5
SEV,monomodalStopPlace:43193,43193,Sevran Beaudottes,IDFM:73491,48.94700236504643,2.5247262164471342,4
SNY,monomodalStopPlace:47877,47877,Rosny-sous-Bois,IDFM:71935,48.87007067367753,2.4857557993217947,3
SSI,monomodalStopPlace:45763,45763,Boissise-le-Roi,IDFM:61943,48.52985734002498,2.57179291425262,5
SSO,monomodalStopPlace:45759,45759,Essonnes Robinson,IDFM:422776,48.60581740091332,2.463295818844443,5
SSY,monomodalStopPlace:462357,462357,Issy - Val de Seine,IDFM:71016,48.83050964570215,2.2640113460455353,2
STA,monomodalStopPlace:43204,43204,Stade de France Saint-Denis,IDFM:72206,48.91769737260247,2.3504430479100207,2
SUC,monomodalStopPlace:58792,58792,Sucy - Bonneuil,IDFM:72929,48.77206393780998,2.5074994611650823,4
SYC,monomodalStopPlace:58937,58937,Noisy - Champs,IDFM:73163,48.84289619599068,2.580103342831972,4
SYG,monomodalStopPlace:474082,474082,Noisy-le-Grand - Mont d'Est,IDFM:412697,48.84088525041221,2.550026754158765,4
TEL,monomodalStopPlace:45102,45102,Châtelet les Halles,IDFM:474151,48.86174503191322,2.34697651043533,1
TEN,monomodalStopPlace:47238,47238,Fontenay-sous-Bois,IDFM:71630,48.8437885964859,2.463537806527943,3
TER,monomodalStopPlace:43169,43169,Nanterre Préfecture,IDFM:70945,48.895886773064674,2.2229862429913676,3
TGE,monomodalStopPlace:47684,47684,Montgeron - Crosne,IDFM:63072,48.70871108366713,2.461377446437224,4
TOR,monomodalStopPlace:43207,43207,Torcy,IDFM:68129,48.83971015133779,2.655169106193295,5
TOU,monomodalStopPlace:43208,43208,Tournan,IDFM:67625,48.739445157221006,2.7589013341652717,5
UBE,monomodalStopPlace:45873,45873,Auber,IDFM:478926,48.872348840718196,2.3296591495793595,1
UEN,monomodalStopPlace:43203,43203,Saint-Ouen,IDFM:72126,48.90456082213364,2.322694729473372,2
UES,monomodalStopPlace:47968,47968,Les Noues,IDFM:66650,49.03307204384692,2.477713962139221,5
UIC,monomodalStopPlace:43232,43232,Le Guichet,IDFM:63025,48.705497380193584,2.1929739951487424,5
UIL,monomodalStopPlace:47925,47925,Breuillet - Bruyères-le-Châtel,IDFM:60028,48.57760979436327,2.1922487394356454,5
ULL,monomodalStopPlace:58267,58267,Les Boullereaux Champigny,IDFM:73098,48.82486398816196,2.511990843607618,3
UNG,monomodalStopPlace:47907,47907,Pont de Rungis Aéroport d'Orly,IDFM:69677,48.74834625868034,2.373209854795934,4
UNO,monomodalStopPlace:58873,58873,Brunoy,IDFM:67476,48.698914475306886,2.5068503123113692,5
URA,monomodalStopPlace:47905,47905,Bouray,IDFM:59830,48.53290340283496,2.2900778137432436,5
URC,monomodalStopPlace:47052,47052,Courcelle-sur-Yvette,IDFM:62951,48.70131367727702,2.097722386795541,5
URD,monomodalStopPlace:47095,47095,Dourdan la Forêt,IDFM:59843,48.53542058733677,1.996005688002604,5
URG,monomodalStopPlace:43231,43231,Le Bourget,IDFM:72641,48.930744340383264,2.425825637815098,3
URN,monomodalStopPlace:43140,43140,La Courneuve - Aubervilliers,IDFM:72598,48.92429743203911,2.3861140570949475,3
URV,monomodalStopPlace:47958,47958,Survilliers - Fosses,IDFM:69450,49.09951161811565,2.525517836696695,5
UVE,monomodalStopPlace:46307,46307,Villeneuve-le-Roi,IDFM:69625,48.73968685807613,2.426423645047488,4
UVI,monomodalStopPlace:47879,47879,Neuville Université,IDFM:66436,49.01374275942672,2.078348820578231,5
VAI,monomodalStopPlace:43211,43211,Vaires - Torcy,IDFM:68419,48.87517306494243,2.637705554664271,5
VAR,monomodalStopPlace:43146,43146,La Varenne - Chennevières,IDFM:72998,48.79532749459459,2.5132322873015256,3
VEN,monomodalStopPlace:45437,45437,Avenue Foch,IDFM:71321,48.86985281215763,2.2747712644338454,1
VES,monomodalStopPlace:43237,43237,Le Vésinet - Le Pecq,IDFM:64582,48.89794951079969,2.122132232303764,4
VIG,monomodalStopPlace:45735,45735,Vigneux-sur-Seine,IDFM:63071,48.70808932141768,2.413499342148242,4
VIN,monomodalStopPlace:43224,43224,Vincennes,IDFM:71651,48.84734683460296,2.4325836014183,2
VIR,monomodalStopPlace:43225,43225,Viry-Châtillon,IDFM:60981,48.67590783936994,2.387021960013403,4
VIT,monomodalStopPlace:46375,46375,Vitry-sur-Seine,IDFM:70313,48.80028105254759,2.40269438767449,3
VOS,monomodalStopPlace:47967,47967,Vosves,IDFM:61850,48.51507609100275,2.5994097381795305,5
VRA,monomodalStopPlace:43194,43194,Sevran - Livry,IDFM:73439,48.93640164880271,2.5352889927291447,4
VRY,monomodalStopPlace:45745,45745,Évry - Val de Seine,IDFM:60522,48.63439299320402,2.4523091616356028,5
YER,monomodalStopPlace:43226,43226,Yerres,IDFM:63044,48.7064507273249,2.483187005163047,4
YVR,monomodalStopPlace:58288,58288,Les Yvris Noisy-le-Grand,IDFM:73096,48.82311348135466,2.5799804563719477,4
